,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
0,1,364.l.8091.t.9,Stream Team,86.0,101.0,0.851485148515,159.0,362.0,0.439226519337,37.0,441.0,158.0,98.0,39.0,17.0,46.0,1.0,8.0,3.0,3.0,7.0,3.0,1.5,7.0,2.0,3.94444444444
1,1,364.l.8091.t.7,One for the Mainland,112.0,138.0,0.8115942028990001,191.0,406.0,0.470443349754,37.0,531.0,195.0,86.0,27.0,26.0,60.0,6.0,4.0,3.0,1.0,2.0,5.0,6.0,2.0,11.0,4.44444444444
2,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,99.0,127.0,0.7795275590549999,174.0,343.0,0.507288629738,29.0,476.0,186.0,89.0,24.0,23.0,55.0,10.0,1.0,8.0,2.0,4.0,4.0,9.5,3.0,9.0,5.61111111111
3,1,364.l.8091.t.2,#Hwaiting,79.0,109.0,0.724770642202,164.0,334.0,0.491017964072,32.0,439.0,227.0,76.0,20.0,30.0,47.0,13.0,2.0,6.0,4.0,1.0,10.0,13.5,1.0,4.0,6.05555555556
4,1,364.l.8091.t.11,Icin On The Beefcake,83.0,110.0,0.754545454545,162.0,358.0,0.45251396648000003,27.0,434.0,192.0,100.0,36.0,22.0,62.0,12.0,5.0,9.0,6.0,3.0,2.0,3.0,4.5,12.0,6.27777777778
5,1,364.l.8091.t.10,Trinh,69.0,83.0,0.831325301205,141.0,318.0,0.44339622641500004,37.0,388.0,134.0,66.0,32.0,12.0,47.0,3.0,6.0,3.0,11.0,13.0,13.0,5.0,8.0,4.0,7.333333333330001
6,1,364.l.8091.t.5,D-League All-Stars,83.0,98.0,0.84693877551,151.0,350.0,0.431428571429,48.0,433.0,135.0,106.0,22.0,11.0,67.0,2.0,9.0,1.0,7.0,12.0,1.0,12.0,10.0,14.0,7.555555555560001
7,1,364.l.8091.t.14,Boomshakalaka,93.0,113.0,0.823008849558,141.0,329.0,0.428571428571,16.0,391.0,159.0,71.0,39.0,18.0,51.0,4.0,10.0,13.0,10.0,6.0,11.5,1.5,6.0,7.0,7.666666666669999
8,1,364.l.8091.t.13,Harry B's Hairy Bees,88.0,110.0,0.8,160.0,375.0,0.426666666667,30.0,438.0,148.0,84.0,26.0,11.0,63.0,7.0,11.0,7.0,5.0,9.0,7.0,7.5,10.0,13.0,8.5
9,1,364.l.8091.t.12,Valar Moredunkis,84.0,106.0,0.792452830189,148.0,308.0,0.480519480519,25.0,405.0,138.0,71.0,24.0,11.0,48.0,8.0,3.0,11.0,8.0,11.0,11.5,9.5,10.0,6.0,8.666666666669999
10,1,364.l.8091.t.3,Forgot About Dray,30.0,56.0,0.535714285714,78.0,190.0,0.410526315789,8.0,194.0,183.0,85.0,23.0,22.0,40.0,14.0,12.0,14.0,14.0,5.0,6.0,11.0,4.5,1.0,9.055555555560002
11,1,364.l.8091.t.6,Jimmy & Jimmy Co.,64.0,82.0,0.7804878048780001,133.0,328.0,0.405487804878,23.0,353.0,157.0,78.0,34.0,9.0,54.0,9.0,13.0,12.0,13.0,8.0,9.0,4.0,12.0,8.0,9.77777777778
12,1,364.l.8091.t.4,Cool Cats,74.0,96.0,0.770833333333,147.0,333.0,0.441441441441,26.0,394.0,128.0,80.0,26.0,8.0,58.0,11.0,7.0,10.0,9.0,14.0,8.0,7.5,13.5,10.0,10.0
13,1,364.l.8091.t.1,Adam Silver,74.0,91.0,0.813186813187,135.0,336.0,0.40178571428599996,35.0,379.0,145.0,59.0,20.0,8.0,47.0,5.0,14.0,5.0,12.0,10.0,14.0,13.5,13.5,4.0,10.1111111111
0,10,364.l.8091.t.12,Valar Moredunkis,140.0,163.0,0.858895705521,231.0,506.0,0.45652173913000005,51.0,653.0,198.0,119.0,33.0,22.0,48.0,3.0,10.0,4.0,1.0,4.0,5.0,9.0,4.0,1.5,4.61111111111
1,10,364.l.8091.t.1,Adam Silver,120.0,136.0,0.8823529411759999,192.0,400.0,0.48,72.0,576.0,167.0,79.0,35.0,21.0,60.0,1.0,6.0,1.0,3.0,11.0,13.0,7.5,5.0,5.0,5.833333333330001
2,10,364.l.8091.t.10,Trinh,96.0,118.0,0.813559322034,196.0,406.0,0.48275862069,55.0,543.0,180.0,116.0,30.0,19.0,48.0,4.0,5.0,3.0,6.0,9.0,6.5,12.0,6.5,1.5,5.94444444444
3,10,364.l.8091.t.11,Icin On The Beefcake,113.0,153.0,0.738562091503,220.0,452.0,0.486725663717,45.0,598.0,207.0,116.0,32.0,23.0,74.0,12.0,4.0,6.0,2.0,3.0,6.5,10.5,3.0,13.0,6.666666666669999
4,10,364.l.8091.t.3,Forgot About Dray,75.0,97.0,0.7731958762890001,153.0,295.0,0.518644067797,34.0,415.0,276.0,140.0,32.0,28.0,72.0,9.0,1.0,10.5,13.0,1.0,1.0,10.5,2.0,12.0,6.666666666669999
5,10,364.l.8091.t.14,Boomshakalaka,79.0,105.0,0.7523809523810001,192.0,413.0,0.464891041162,40.0,503.0,185.0,132.0,43.0,18.0,65.0,11.0,9.0,9.0,7.0,7.0,2.0,1.0,8.0,9.0,7.0
6,10,364.l.8091.t.13,Harry B's Hairy Bees,95.0,120.0,0.791666666667,204.0,408.0,0.5,41.0,544.0,196.0,100.0,28.0,17.0,55.0,6.0,2.0,8.0,5.0,6.0,10.0,13.0,10.0,3.0,7.0
7,10,364.l.8091.t.2,#Hwaiting,110.0,152.0,0.723684210526,211.0,453.0,0.465783664459,34.0,566.0,257.0,128.0,35.0,36.0,77.0,14.0,8.0,10.5,4.0,2.0,3.0,7.5,1.0,14.0,7.1111111111100005
8,10,364.l.8091.t.5,D-League All-Stars,108.0,125.0,0.8640000000000001,168.0,370.0,0.454054054054,57.0,501.0,184.0,121.0,36.0,14.0,69.0,2.0,11.0,2.0,8.0,8.0,4.0,6.0,13.0,11.0,7.22222222222
9,10,364.l.8091.t.6,Jimmy & Jimmy Co.,89.0,114.0,0.7807017543860001,162.0,346.0,0.468208092486,23.0,436.0,197.0,111.0,41.0,19.0,64.0,7.0,7.0,14.0,10.0,5.0,9.0,2.0,6.5,7.5,7.555555555560001
10,10,364.l.8091.t.7,One for the Mainland,113.0,146.0,0.7739726027399999,172.0,353.0,0.487252124646,42.0,499.0,161.0,114.0,40.0,17.0,67.0,8.0,3.0,7.0,9.0,12.0,8.0,3.0,10.0,10.0,7.77777777778
11,10,364.l.8091.t.9,Stream Team,67.0,89.0,0.7528089887639999,158.0,364.0,0.43406593406599997,50.0,433.0,143.0,99.0,39.0,17.0,64.0,10.0,13.0,5.0,11.0,14.0,11.0,4.0,10.0,7.5,9.5
12,10,364.l.8091.t.4,Cool Cats,78.0,96.0,0.8125,162.0,383.0,0.42297650130500003,28.0,430.0,169.0,98.0,38.0,12.0,59.0,5.0,14.0,13.0,12.0,10.0,12.0,5.0,14.0,4.0,9.88888888889
13,10,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,48.0,66.0,0.7272727272730001,140.0,311.0,0.450160771704,32.0,360.0,149.0,59.0,27.0,16.0,61.0,13.0,12.0,12.0,14.0,13.0,14.0,14.0,12.0,6.0,12.222222222200001
0,11,364.l.8091.t.2,#Hwaiting,103.0,124.0,0.8306451612899999,209.0,413.0,0.506053268765,36.0,557.0,240.0,118.0,37.0,40.0,67.0,4.0,2.0,12.0,8.5,3.0,6.0,7.5,1.0,7.5,5.72222222222
1,11,364.l.8091.t.12,Valar Moredunkis,132.0,157.0,0.84076433121,206.0,433.0,0.475750577367,51.0,595.0,202.0,117.0,38.0,22.0,67.0,2.0,5.0,8.5,5.0,7.0,7.0,4.5,8.0,7.5,6.05555555556
2,11,364.l.8091.t.10,Trinh,76.0,100.0,0.76,221.0,464.0,0.476293103448,71.0,589.0,181.0,106.0,40.0,26.0,56.0,12.0,4.0,1.0,6.0,13.0,10.0,3.0,3.0,4.0,6.22222222222
3,11,364.l.8091.t.1,Adam Silver,136.0,164.0,0.829268292683,231.0,521.0,0.443378119002,63.0,661.0,182.0,114.0,41.0,22.0,61.0,5.0,11.0,3.5,1.0,12.0,9.0,2.0,8.0,5.0,6.27777777778
4,11,364.l.8091.t.7,One for the Mainland,141.0,175.0,0.8057142857140001,204.0,474.0,0.430379746835,59.0,608.0,227.0,138.0,36.0,31.0,69.0,8.0,14.0,5.5,4.0,4.0,2.0,10.0,2.0,9.0,6.5
5,11,364.l.8091.t.11,Icin On The Beefcake,106.0,134.0,0.791044776119,224.0,495.0,0.452525252525,66.0,620.0,245.0,128.0,38.0,21.0,79.0,11.0,10.0,2.0,2.5,2.0,4.0,4.5,10.5,13.0,6.61111111111
6,11,364.l.8091.t.6,Jimmy & Jimmy Co.,79.0,98.0,0.8061224489800001,195.0,425.0,0.45882352941200005,53.0,522.0,197.0,125.0,46.0,22.0,62.0,7.0,8.0,7.0,12.0,10.0,5.0,1.0,8.0,6.0,7.1111111111100005
7,11,364.l.8091.t.13,Harry B's Hairy Bees,84.0,101.0,0.831683168317,221.0,436.0,0.506880733945,42.0,568.0,211.0,97.0,21.0,17.0,51.0,3.0,1.0,11.0,7.0,5.0,14.0,14.0,13.0,3.0,7.8888888888899995
8,11,364.l.8091.t.3,Forgot About Dray,77.0,119.0,0.647058823529,164.0,330.0,0.49696969697,23.0,428.0,305.0,156.0,37.0,23.0,75.0,14.0,3.0,14.0,14.0,1.0,1.0,7.5,5.5,12.0,8.0
9,11,364.l.8091.t.4,Cool Cats,113.0,137.0,0.824817518248,222.0,484.0,0.45867768594999997,63.0,620.0,185.0,104.0,29.0,19.0,73.0,6.0,9.0,3.5,2.5,11.0,11.5,12.0,12.0,11.0,8.72222222222
10,11,364.l.8091.t.9,Stream Team,64.0,85.0,0.752941176471,201.0,467.0,0.43040685224799996,51.0,517.0,198.0,134.0,37.0,21.0,50.0,13.0,13.0,8.5,13.0,8.5,3.0,7.5,10.5,2.0,8.77777777778
11,11,364.l.8091.t.14,Boomshakalaka,102.0,128.0,0.796875,209.0,446.0,0.468609865471,34.0,554.0,208.0,104.0,37.0,23.0,71.0,9.0,7.0,13.0,10.0,6.0,11.5,7.5,5.5,10.0,8.833333333330001
12,11,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,95.0,120.0,0.791666666667,191.0,405.0,0.471604938272,48.0,525.0,172.0,102.0,22.0,24.0,47.0,10.0,6.0,10.0,11.0,14.0,13.0,13.0,4.0,1.0,9.11111111111
13,11,364.l.8091.t.5,D-League All-Stars,104.0,117.0,0.888888888889,197.0,451.0,0.43680709534400003,59.0,557.0,198.0,116.0,35.0,16.0,82.0,1.0,12.0,5.5,8.5,8.5,8.0,11.0,14.0,14.0,9.166666666669999
0,12,364.l.8091.t.7,One for the Mainland,116.0,147.0,0.789115646259,191.0,436.0,0.43807339449500005,54.0,552.0,229.0,116.0,35.0,19.0,79.0,5.0,14.0,3.0,2.0,2.0,4.0,3.0,6.0,13.0,5.77777777778
1,12,364.l.8091.t.3,Forgot About Dray,74.0,104.0,0.7115384615379999,164.0,324.0,0.506172839506,15.0,417.0,259.0,157.0,38.0,30.0,61.0,13.0,2.0,14.0,9.0,1.0,1.0,1.0,1.0,10.5,5.833333333330001
2,12,364.l.8091.t.4,Cool Cats,99.0,120.0,0.825,200.0,399.0,0.501253132832,56.0,555.0,172.0,99.0,29.0,9.0,61.0,2.0,3.0,2.0,1.0,6.0,6.5,9.0,14.0,10.5,6.0
3,12,364.l.8091.t.11,Icin On The Beefcake,88.0,116.0,0.758620689655,181.0,396.0,0.45707070707099995,45.0,495.0,166.0,142.0,34.0,22.0,67.0,10.0,10.0,6.0,4.0,9.0,2.0,4.5,3.0,12.0,6.72222222222
4,12,364.l.8091.t.5,D-League All-Stars,89.0,111.0,0.801801801802,192.0,434.0,0.44239631336400004,66.0,539.0,169.0,132.0,30.0,14.0,81.0,4.0,13.0,1.0,3.0,7.0,3.0,8.0,10.0,14.0,7.0
