team_key,team_name,date,league_fee,reg_adds,po_adds,il_days,free_add_from_trades,reg_add_fee,po_add_fee,il_fee,trade_credit,fees_accrued
364.l.8091.t.1,Adam Silver,2017-04-13,150,18,0,71,0,90,0,33.0,0,273.0
364.l.8091.t.2,Lebron James and Co.,2017-04-13,150,16,11,140,0,80,110,60.0,0,400.0
364.l.8091.t.3,Forgot About Dray,2017-04-13,150,5,13,98,0,25,130,42.0,0,347.0
364.l.8091.t.4,Cool Cats,2017-04-13,150,12,0,109,0,60,0,48.0,0,258.0
364.l.8091.t.5,D-League All-Stars,2017-04-13,150,50,21,94,0,250,210,42.0,0,652.0
364.l.8091.t.6,Jimmy & Jimmy Co.,2017-04-13,150,33,2,52,1,165,20,24.0,5,354.0
364.l.8091.t.7,One for the Mainland,2017-04-13,150,18,5,71,0,90,50,33.0,0,323.0
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,2017-04-13,150,2,0,20,0,10,0,9.0,0,169.0
364.l.8091.t.9,Stream Team,2017-04-13,150,75,0,46,1,375,0,21.0,5,541.0
364.l.8091.t.10,Trinh,2017-04-13,150,10,1,85,0,50,10,39.0,0,249.0
364.l.8091.t.11,Icin On The Beefcake,2017-04-13,150,18,0,23,0,90,0,12.0,0,252.0
364.l.8091.t.12,Valar Moredunkis,2017-04-13,150,19,0,83,0,95,0,36.0,0,281.0
364.l.8091.t.13,Harry B's Hairy Bees,2017-04-13,150,12,0,23,0,60,0,12.0,0,222.0
364.l.8091.t.14,Boomshakalaka,2017-04-13,150,10,0,138,0,50,0,60.0,0,260.0
