team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,10.25,2.75,9.5,4.75,4.25,4.5,7.875,4.0,5.5,5.93055555556
364.l.8091.t.2,#Hwaiting,10.5,3.25,7.375,7.25,5.0,4.25,7.625,3.75,7.625,6.29166666667
364.l.8091.t.7,One for the Mainland,7.75,4.75,8.75,4.25,5.75,7.625,7.875,7.0,6.25,6.66666666667
364.l.8091.t.11,Icin On The Beefcake,10.25,7.5,6.125,6.0,2.75,9.25,7.75,4.25,8.875,6.97222222222
364.l.8091.t.14,Browshakalaka,4.75,8.25,7.125,7.0,8.0,8.5,5.875,6.5,7.875,7.09722222222
364.l.8091.t.9,Optimus Dimes,6.0,8.5,10.375,9.25,6.0,3.0,6.125,10.25,4.625,7.125
364.l.8091.t.3,Forgot About Dray,14.0,4.0,11.25,13.75,2.5,6.25,7.625,3.25,3.75,7.375
364.l.8091.t.6,Jimmy & Jimmy Co.,8.0,7.5,10.0,9.25,8.5,6.25,4.0,8.0,5.0,7.38888888889
364.l.8091.t.12,Valar Moredunkis,8.5,8.25,5.5,5.5,8.25,9.375,4.75,9.25,9.5,7.65277777778
364.l.8091.t.13,Vogelmagic,4.5,9.0,4.0,4.75,11.0,8.375,7.75,10.75,11.0,7.90277777778
364.l.8091.t.10,Trinh,7.25,7.5,11.0,11.0,13.5,5.375,4.5,8.75,4.0,8.09722222222
364.l.8091.t.4,Cool Cats,4.75,10.0,3.125,5.25,10.0,10.5,7.625,9.875,11.875,8.11111111111
364.l.8091.t.1,#TrustTheProcess,5.25,12.0,5.625,8.0,9.25,11.75,12.625,8.625,9.375,9.16666666667
364.l.8091.t.5,D-League All-Stars,3.25,11.75,5.25,9.0,10.25,10.0,13.0,10.75,9.75,9.22222222222
