team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.83683.t.4,Shlokemon Go,6.0,4.0,6.4,7.6,5.6,3.9,4.2,1.7,4.6,4.88888888889
364.l.83683.t.6,Underperformers,6.2,6.0,4.2,2.0,3.5,5.9,3.7,7.3,6.8,5.06666666667
364.l.83683.t.7,Peter's Team,10.0,3.4,5.2,10.0,1.0,5.0,4.3,1.8,5.8,5.16666666667
364.l.83683.t.5,Karan's Team,2.2,6.2,2.9,2.2,5.6,7.2,6.0,6.3,8.1,5.18888888889
364.l.83683.t.1,Bloomfield Bombers,3.4,6.6,3.2,4.4,4.0,4.4,6.8,6.2,7.8,5.2
364.l.83683.t.2,The Uni-Bros,4.2,7.6,7.5,5.6,7.1,7.2,2.7,4.1,3.5,5.5
364.l.83683.t.8,adam's Team,4.6,4.8,9.1,4.2,6.1,6.0,6.4,7.5,1.9,5.62222222222
364.l.83683.t.10,Dream Team,7.0,4.2,6.6,5.6,6.2,5.5,5.2,7.2,4.4,5.76666666667
364.l.83683.t.9,Maverick,5.6,5.4,6.9,7.4,7.0,4.5,7.7,5.6,4.1,6.02222222222
364.l.83683.t.3,Ankit's Team,5.8,6.8,3.0,6.0,8.9,5.4,8.0,7.3,8.0,6.57777777778
