first_name,last_name,position,team,timestamp,type
Harrison,Barnes,"SF,PF",Adam Silver,"Sat, 02 Apr 2016 03:10:59",add
Darrell,Arthur,"PF,C",Adam Silver,"Sat, 02 Apr 2016 03:10:59",drop
Clint,Capela,"PF,C",Adam Silver,"Sat, 02 Apr 2016 03:09:51",add
Jerami,Grant,"SF,PF",Adam Silver,"Sat, 02 Apr 2016 03:09:51",drop
Jamal,Crawford,"SG,SF",#Hwaiting,"Sat, 02 Apr 2016 03:07:47",add
Goran,Dragic,"PG,SG",#Hwaiting,"Sat, 02 Apr 2016 03:07:47",drop
JaMychal,Green,PF,Adam Silver,"Sat, 02 Apr 2016 03:04:28",add
Tim,Duncan,"PF,C",Adam Silver,"Sat, 02 Apr 2016 03:04:28",drop
Thomas,Robinson,"PF,C",Adam Silver,"Sat, 02 Apr 2016 03:02:21",add
Willie,Cauley-Stein,"PF,C",Adam Silver,"Sat, 02 Apr 2016 03:02:21",drop
Tyson,Chandler,C,Adam Silver,"Sat, 02 Apr 2016 03:01:14",add
Reggie,Jackson,"PG,SG",Adam Silver,"Sat, 02 Apr 2016 03:01:14",drop
Wesley,Matthews,"SG,SF",#Hwaiting,"Sat, 02 Apr 2016 03:00:24",add
Al-Farouq,Aminu,"SF,PF",#Hwaiting,"Sat, 02 Apr 2016 03:00:24",drop
Jae,Crowder,"SF,PF",#Hwaiting,"Sat, 02 Apr 2016 03:00:14",add
Carl,Landry,"SF,PF",#Hwaiting,"Sat, 02 Apr 2016 03:00:14",drop
Darrell,Arthur,"PF,C",Adam Silver,"Sat, 02 Apr 2016 02:59:33",add
Gorgui,Dieng,"PF,C",Adam Silver,"Sat, 02 Apr 2016 02:59:33",drop
Jerami,Grant,"SF,PF",Adam Silver,"Sat, 02 Apr 2016 02:57:54",add
Carmelo,Anthony,"SF,PF",Adam Silver,"Sat, 02 Apr 2016 02:57:54",drop
Maurice,Harkless,SF,Adam Silver,"Sat, 02 Apr 2016 02:56:59",add
Zach,Randolph,"PF,C",Adam Silver,"Sat, 02 Apr 2016 02:56:59",drop
Tim,Duncan,"PF,C",Adam Silver,"Sat, 02 Apr 2016 02:55:30",add
Otto,Porter,SF,Adam Silver,"Sat, 02 Apr 2016 02:55:30",drop
Al-Farouq,Aminu,"SF,PF",#Hwaiting,"Fri, 01 Apr 2016 23:39:26",add
