date,first_name,from_team,from_team_key,last_name,position,team,team_key,timestamp,to_team,to_team_key,transaction_id,type
2017-04-02,Tim,,,Frazier,"PG,SG",Forgot About Dray,364.l.8091.t.3,Sun Apr 02 01:07:49 PDT 2017,,,509,add
2017-04-02,DeAndre,,,Jordan,C,Forgot About Dray,364.l.8091.t.3,Sun Apr 02 01:07:49 PDT 2017,,,509,drop
2017-04-02,J.J.,,,Barea,"PG,SG",Forgot About Dray,364.l.8091.t.3,Sun Apr 02 00:53:00 PDT 2017,,,508,add
2017-04-02,Terrence,,,Ross,"SG,SF",Forgot About Dray,364.l.8091.t.3,Sun Apr 02 00:53:00 PDT 2017,,,508,drop
2017-04-02,Cory,,,Joseph,PG,Forgot About Dray,364.l.8091.t.3,Sun Apr 02 00:52:06 PDT 2017,,,507,add
2017-04-02,Kris,,,Dunn,"PG,SG",Forgot About Dray,364.l.8091.t.3,Sun Apr 02 00:52:06 PDT 2017,,,507,drop
2017-04-01,Joe,,,Ingles,"SG,SF",D-League All-Stars,364.l.8091.t.5,Sat Apr 01 21:37:48 PDT 2017,,,506,add
2017-04-01,Spencer,,,Dinwiddie,PG,D-League All-Stars,364.l.8091.t.5,Sat Apr 01 21:37:48 PDT 2017,,,506,drop
2017-04-01,Kevin,,,Durant,"SF,PF",Forgot About Dray,364.l.8091.t.3,Sat Apr 01 03:20:52 PDT 2017,,,505,drop
2017-04-01,Kris,,,Dunn,"PG,SG",Forgot About Dray,364.l.8091.t.3,Sat Apr 01 03:18:02 PDT 2017,,,504,add
2017-04-01,Cody,,,Zeller,"PF,C",Forgot About Dray,364.l.8091.t.3,Sat Apr 01 03:18:02 PDT 2017,,,504,drop
2017-03-31,Taurean,,,Prince,SF,D-League All-Stars,364.l.8091.t.5,Fri Mar 31 23:25:16 PDT 2017,,,503,add
2017-03-31,Seth,,,Curry,"PG,SG",D-League All-Stars,364.l.8091.t.5,Fri Mar 31 23:25:16 PDT 2017,,,503,drop
2017-03-31,Spencer,,,Dinwiddie,PG,D-League All-Stars,364.l.8091.t.5,Fri Mar 31 22:50:20 PDT 2017,,,502,add
2017-03-31,Ish,,,Smith,PG,D-League All-Stars,364.l.8091.t.5,Fri Mar 31 22:50:20 PDT 2017,,,502,drop
2017-03-30,Timothe,,,Luwawu-Cabarrot,"SG,SF",D-League All-Stars,364.l.8091.t.5,Thu Mar 30 17:27:38 PDT 2017,,,501,add
2017-03-30,Robert,,,Covington,"SF,PF",D-League All-Stars,364.l.8091.t.5,Thu Mar 30 17:27:38 PDT 2017,,,501,drop
2017-03-29,Allen,,,Crabbe,"PG,SG",D-League All-Stars,364.l.8091.t.5,Wed Mar 29 23:49:48 PDT 2017,,,500,add
2017-03-29,Patty,,,Mills,PG,D-League All-Stars,364.l.8091.t.5,Wed Mar 29 23:49:48 PDT 2017,,,500,drop
2017-03-28,Patty,,,Mills,PG,D-League All-Stars,364.l.8091.t.5,Tue Mar 28 21:53:34 PDT 2017,,,499,add
2017-03-28,Nene,,,Hilario,"PF,C",D-League All-Stars,364.l.8091.t.5,Tue Mar 28 21:53:34 PDT 2017,,,499,drop
2017-03-28,Ish,,,Smith,PG,D-League All-Stars,364.l.8091.t.5,Tue Mar 28 14:51:40 PDT 2017,,,498,add
2017-03-28,Jon,,,Leuer,"PF,C",D-League All-Stars,364.l.8091.t.5,Tue Mar 28 14:51:40 PDT 2017,,,498,drop
2017-03-27,Kyle,,,Lowry,PG,Lebron James and Co.,364.l.8091.t.2,Mon Mar 27 01:52:58 PDT 2017,,,497,drop
2017-03-26,Nene,,,Hilario,"PF,C",D-League All-Stars,364.l.8091.t.5,Sun Mar 26 23:25:49 PDT 2017,,,496,add
2017-03-26,Sergio,,,Rodriguez,PG,D-League All-Stars,364.l.8091.t.5,Sun Mar 26 23:25:49 PDT 2017,,,496,drop
2017-03-26,Terrence,,,Ross,"SG,SF",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 23:16:24 PDT 2017,,,495,add
2017-03-26,Will,,,Barton,"SG,SF",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 23:16:24 PDT 2017,,,495,drop
2017-03-26,Nikola,,,Mirotic,"SF,PF",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 23:10:27 PDT 2017,,,494,add
2017-03-26,Thabo,,,Sefolosha,"SG,SF",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 23:10:27 PDT 2017,,,494,drop
2017-03-26,Jon,,,Leuer,"PF,C",D-League All-Stars,364.l.8091.t.5,Sun Mar 26 18:38:45 PDT 2017,,,493,add
2017-03-26,Ty,,,Lawson,PG,D-League All-Stars,364.l.8091.t.5,Sun Mar 26 18:38:45 PDT 2017,,,493,drop
2017-03-26,Cody,,,Zeller,"PF,C",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 01:05:19 PDT 2017,,,492,add
2017-03-26,Tristan,,,Thompson,"PF,C",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 01:05:19 PDT 2017,,,492,drop
2017-03-26,Thabo,,,Sefolosha,"SG,SF",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 01:03:00 PDT 2017,,,491,add
2017-03-26,Danny,,,Green,"SG,SF",Forgot About Dray,364.l.8091.t.3,Sun Mar 26 01:03:00 PDT 2017,,,491,drop
2017-03-26,Ty,,,Lawson,PG,D-League All-Stars,364.l.8091.t.5,Sun Mar 26 00:02:11 PDT 2017,,,490,add
2017-03-26,Brandon,,,Jennings,PG,D-League All-Stars,364.l.8091.t.5,Sun Mar 26 00:02:11 PDT 2017,,,490,drop
2017-03-25,Solomon,,,Hill,"SG,SF",Lebron James and Co.,364.l.8091.t.2,Sat Mar 25 23:56:22 PDT 2017,,,489,add
2017-03-25,Brandon,,,Ingram,"SG,SF",Lebron James and Co.,364.l.8091.t.2,Sat Mar 25 23:56:22 PDT 2017,,,489,drop
2017-03-25,Jameer,,,Nelson,PG,Lebron James and Co.,364.l.8091.t.2,Sat Mar 25 05:18:51 PDT 2017,,,488,add
2017-03-25,Patty,,,Mills,PG,Lebron James and Co.,364.l.8091.t.2,Sat Mar 25 05:18:51 PDT 2017,,,488,drop
2017-03-25,Sergio,,,Rodriguez,PG,D-League All-Stars,364.l.8091.t.5,Sat Mar 25 04:02:15 PDT 2017,,,487,add
