,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
4,1,364.l.8091.t.3,Forgot About Dray,57.0,89.0,0.640449438202,161.0,316.0,0.509493670886,57,414,246,107,33,30,57,14.0,1.0,9.5,14.0,3.0,14.0,7.5,3.5,5.5,0.574971554544
9,1,364.l.8091.t.12,Valar Moredunkis,133.0,175.0,0.76,197.0,482.0,0.408713692946,72,562,209,135,43,19,72,9.0,14.0,4.0,3.0,6.0,8.0,2.0,7.0,11.0,0.584356846473
2,1,364.l.8091.t.2,#Hwaiting,80.0,115.0,0.695652173913,194.0,403.0,0.481389578164,49,500,193,85,25,25,49,13.0,3.0,12.0,10.0,10.0,2.0,13.0,6.0,3.0,0.588520876038
12,1,364.l.8091.t.9,Optimus Dimes,65.0,87.0,0.747126436782,170.0,382.0,0.44502617801,61,456,232,79,29,14,61,10.0,9.0,6.0,13.0,5.0,5.0,10.0,14.0,9.0,0.596076307396
11,1,364.l.8091.t.11,Icin On The Beefcake,90.0,122.0,0.737704918033,213.0,464.0,0.459051724138,103,559,252,148,35,32,103,11.0,5.0,14.0,4.0,2.0,6.0,6.0,2.0,1.0,0.598378321085
0,1,364.l.8091.t.1,#TrustTheProcess,111.0,140.0,0.792857142857,194.0,471.0,0.411889596603,78,553,204,120,28,15,78,6.0,13.0,2.0,7.0,7.0,10.0,11.0,13.0,13.0,0.60237336973
6,1,364.l.8091.t.6,Jimmy & Jimmy Co.,93.0,121.0,0.768595041322,196.0,440.0,0.445454545455,57,531,237,98,43,26,57,8.0,8.0,9.5,8.0,4.0,1.0,2.0,5.0,5.5,0.607024793388
10,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,83.0,115.0,0.721739130435,236.0,465.0,0.50752688172,59,620,255,84,40,39,59,12.0,2.0,8.0,1.0,1.0,3.0,4.0,1.0,7.0,0.614633006078
3,1,364.l.8091.t.4,Cool Cats,84.0,102.0,0.823529411765,195.0,466.0,0.418454935622,82,518,170,110,33,16,82,5.0,12.0,1.0,9.0,12.0,13.0,7.5,12.0,14.0,0.620992173694
8,1,364.l.8091.t.7,One for the Mainland,80.0,101.0,0.792079207921,187.0,406.0,0.460591133005,56,490,192,115,26,17,56,7.0,4.0,11.0,11.0,11.0,11.5,12.0,10.0,4.0,0.626335170463
1,1,364.l.8091.t.5,D-League All-Stars,121.0,145.0,0.834482758621,190.0,442.0,0.429864253394,73,556,194,141,23,18,73,4.0,10.0,3.0,6.0,9.0,7.0,14.0,8.0,12.0,0.632173506007
13,1,364.l.8091.t.10,Trinh,69.0,80.0,0.8625,171.0,404.0,0.423267326733,44,458,155,80,39,17,44,1.0,11.0,13.0,12.0,14.0,4.0,5.0,10.0,2.0,0.642883663366
7,1,364.l.8091.t.13,Vogelmagic,93.0,111.0,0.837837837838,204.0,455.0,0.448351648352,60,557,165,115,43,17,60,3.0,7.0,7.0,5.0,13.0,11.5,2.0,10.0,8.0,0.643094743095
5,1,364.l.8091.t.14,Browshakalaka,120.0,140.0,0.857142857143,200.0,445.0,0.449438202247,68,564,200,121,31,30,68,2.0,6.0,5.0,2.0,8.0,9.0,9.0,3.5,10.0,0.653290529695
