,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
7,1,364.l.83683.t.7,Peter's Team,58.0,92.0,0.630434782609,118.0,265.0,0.445283018868,47,306,196,111,28,25,47,10.0,5.0,7.0,10.0,1.0,10.0,5.5,3.0,4.0,0.537858900738
3,1,364.l.83683.t.9,Maverick,69.0,97.0,0.711340206186,123.0,266.0,0.462406015038,50,329,142,69,28,13,50,9.0,4.0,6.0,9.0,9.0,4.5,5.5,6.0,5.0,0.586873110612
8,1,364.l.83683.t.6,Underperformers,96.0,122.0,0.786885245902,159.0,387.0,0.410852713178,63,440,171,86,29,12,63,7.0,10.0,3.0,4.0,4.0,2.0,4.0,7.0,8.0,0.59886897954
2,1,364.l.83683.t.3,Ankit's Team,82.0,102.0,0.803921568627,151.0,367.0,0.411444141689,69,423,119,124,21,11,69,6.0,9.0,1.0,6.0,10.0,8.0,10.0,8.0,10.0,0.607682855158
9,1,364.l.83683.t.10,Dream Team,105.0,128.0,0.8203125,174.0,398.0,0.437185929648,55,505,161,99,23,23,55,5.0,7.0,5.0,3.0,7.0,1.0,9.0,4.0,6.0,0.628749214824
1,1,364.l.83683.t.2,The Uni-Bros,89.0,107.0,0.831775700935,148.0,346.0,0.42774566474,40,426,144,67,34,19,40,4.0,8.0,9.5,5.0,8.0,6.0,3.0,5.0,1.5,0.629760682837
4,1,364.l.83683.t.4,Shlokemon Go,82.0,106.0,0.77358490566,152.0,301.0,0.504983388704,40,409,185,69,25,35,40,8.0,1.0,9.5,8.0,2.0,4.5,8.0,2.0,1.5,0.639284147182
0,1,364.l.83683.t.1,Bloomfield Bombers,116.0,136.0,0.852941176471,191.0,436.0,0.438073394495,63,538,179,114,37,10,63,1.0,6.0,3.0,1.0,3.0,9.0,1.5,9.5,8.0,0.645507285483
5,1,364.l.83683.t.8,adam's Team,90.0,108.0,0.833333333333,149.0,311.0,0.479099678457,43,421,164,66,37,10,43,3.0,3.0,8.0,7.0,6.0,7.0,1.5,9.5,3.0,0.656216505895
6,1,364.l.83683.t.5,Karan's Team,105.0,125.0,0.84,185.0,381.0,0.485564304462,63,511,166,77,26,8,63,2.0,2.0,3.0,2.0,5.0,3.0,7.0,1.0,8.0,0.662782152231
