,pid,adp,name,pos,ave_round,ave_cost,perc_drafted
0,364.p.3248,0.0,Vince Carter,GF,0.0,0.0,0.0
425,364.p.5371,0.0,Cory Jefferson,PF,0.0,0.0,0.0
424,364.p.5370,0.0,Jordan McRae,SG,0.0,0.0,0.0
423,364.p.5366,0.0,Semaj Christon,PG,0.0,0.0,0.0
422,364.p.5360,0.0,Cameron Bairstow,FC,0.0,0.0,0.0
421,364.p.5359,0.0,Lamar Patterson,SG,0.0,0.0,0.0
419,364.p.5356,0.0,Dwight Powell,PF,0.0,0.0,0.0
418,364.p.5355,0.0,Markel Brown,SG,0.0,0.0,0.0
417,364.p.5354,0.0,Walter Tavares,C,0.0,0.0,0.0
416,364.p.5353,0.0,Nick Johnson,SG,0.0,0.0,0.0
414,364.p.5351,0.0,Glenn Robinson III,SF,0.0,0.0,0.0
412,364.p.5349,0.0,Spencer Dinwiddie,PG,0.0,0.0,0.0
411,364.p.5347,0.0,Johnny O'Bryant,PF,0.0,0.0,0.0
410,364.p.5346,0.0,Jarnell Stokes,PF,0.0,0.0,0.0
409,364.p.5345,0.0,Cleanthony Early,SF,0.0,0.0,0.0
408,364.p.5344,0.0,Joe Harris,SG,0.0,0.0,0.0
407,364.p.5343,0.0,K.J. McDaniels,SF,0.0,0.0,0.0
406,364.p.5342,0.0,Damien Inglis,SF,0.0,0.0,0.0
404,364.p.5340,0.0,Josh Huestis,SF,0.0,0.0,0.0
403,364.p.5339,0.0,C.J. Wilcox,SG,0.0,0.0,0.0
402,364.p.5337,0.0,P.J. Hairston,GF,0.0,0.0,0.0
400,364.p.5335,0.0,Shabazz Napier,PG,0.0,0.0,0.0
398,364.p.5333,0.0,Jordan Adams,SG,0.0,0.0,0.0
397,364.p.5332,0.0,Mitch McGary,FC,0.0,0.0,0.0
396,364.p.5331,0.0,Bruno Caboclo,SF,0.0,0.0,0.0
394,364.p.5329,0.0,Tyler Ennis,PG,0.0,0.0,0.0
393,364.p.5328,0.0,James Young,SG,0.0,0.0,0.0
391,364.p.5326,0.0,Adreian Payne,PF,0.0,0.0,0.0
385,364.p.5320,0.0,Noah Vonleh,PF,0.0,0.0,0.0
384,364.p.5319,0.0,Nik Stauskas,SG,0.0,0.0,0.0
426,364.p.5372,0.0,Damjan Rudez,GF,0.0,0.0,0.0
376,364.p.5290,0.0,D.J. Stephens,SF,0.0,0.0,0.0
427,364.p.5374,0.0,Eric Moreland,PF,0.0,0.0,0.0
430,364.p.5379,0.0,Bryce Cotton,PG,0.0,0.0,0.0
477,364.p.5494,0.0,Anthony Brown,SF,0.0,0.0,0.0
476,364.p.5493,0.0,Jordan Mickey,PF,0.0,0.0,0.0
475,364.p.5492,0.0,Montrezl Harrell,PF,0.0,0.0,0.0
474,364.p.5490,0.0,Kevon Looney,PF,0.0,0.0,0.0
473,364.p.5489,0.0,Chris McCullough,PF,0.0,0.0,0.0
472,364.p.5488,0.0,R.J. Hunter,SG,0.0,0.0,0.0
470,364.p.5485,0.0,Jarell Martin,PF,0.0,0.0,0.0
469,364.p.5484,0.0,Tyus Jones,PG,0.0,0.0,0.0
466,364.p.5481,0.0,Justin Anderson,SF,0.0,0.0,0.0
465,364.p.5480,0.0,Delon Wright,PG,0.0,0.0,0.0
464,364.p.5479,0.0,Jerian Grant,G,0.0,0.0,0.0
463,364.p.5478,0.0,Sam Dekker,SF,0.0,0.0,0.0
462,364.p.5477,0.0,Rashad Vaughn,"GF,SG",0.0,0.0,0.0
461,364.p.5476,0.0,Terry Rozier,PG,0.0,0.0,0.0
460,364.p.5475,0.0,Kelly Oubre Jr.,SF,0.0,0.0,0.0
459,364.p.5474,0.0,Cameron Payne,PG,0.0,0.0,0.0
444,364.p.5423,0.0,Richard Solomon,PF,0.0,0.0,0.0
443,364.p.5419,0.0,Jarell Eddie,SG,0.0,0.0,0.0
442,364.p.5417,0.0,Jakarr Sampson,GF,0.0,0.0,0.0
440,364.p.5413,0.0,Drew Crawford,SG,0.0,0.0,0.0
439,364.p.5410,0.0,Chris Crawford,SG,0.0,0.0,0.0
438,364.p.5408,0.0,John Holland,SG,0.0,0.0,0.0
437,364.p.5397,0.0,Jabari Brown,SG,0.0,0.0,0.0
436,364.p.5393,0.0,Joe Ingles,GF,0.0,0.0,0.0
435,364.p.5392,0.0,Brady Heslip,PG,0.0,0.0,0.0
434,364.p.5389,0.0,Travis Wear,PF,0.0,0.0,0.0
433,364.p.5388,0.0,Langston Galloway,G,0.0,0.0,0.0
432,364.p.5385,0.0,James Michael McAdoo,PF,0.0,0.0,0.0
431,364.p.5383,0.0,Tarik Black,FC,0.0,0.0,0.0
429,364.p.5378,0.0,Shayne Whittington,C,0.0,0.0,0.0
375,364.p.5289,0.0,Casper Ware,PG,0.0,0.0,0.0
374,364.p.5282,0.0,Troy Daniels,PG,0.0,0.0,0.0
373,364.p.5270,0.0,Rodney McGruder,SG,0.0,0.0,0.0
315,364.p.5133,0.0,Chris Johnson,GF,0.0,0.0,0.0
314,364.p.5111,0.0,Henry Sims,C,0.0,0.0,0.0
313,364.p.5106,0.0,Hollis Thompson,GF,0.0,0.0,0.0
623,364.p.5744,0.0,Gracin Bakumanya,C,0.0,0.0,0.0
310,364.p.5098,0.0,Pablo Prigioni,G,0.0,0.0,0.0
309,364.p.5096,0.0,Chris Copeland,F,0.0,0.0,0.0
307,364.p.5094,0.0,Robert Sacre,C,0.0,0.0,0.0
306,364.p.5092,0.0,Robbie Hummel,F,0.0,0.0,0.0
305,364.p.5083,0.0,Kyle O'Quinn,FC,0.0,0.0,0.0
304,364.p.5081,0.0,Kevin Murphy,G,0.0,0.0,0.0
303,364.p.5079,0.0,Justin Hamilton,FC,0.0,0.0,0.0
302,364.p.5077,0.0,Mike Scott,PF,0.0,0.0,0.0
299,364.p.5071,0.0,Quincy Acy,F,0.0,0.0,0.0
298,364.p.5070,0.0,Orlando Johnson,GF,0.0,0.0,0.0
295,364.p.5066,0.0,Tomas Satoransky,G,0.0,0.0,0.0
294,364.p.5064,0.0,Festus Ezeli,C,0.0,0.0,0.0
293,364.p.5060,0.0,Miles Plumlee,FC,0.0,0.0,0.0
292,364.p.5059,0.0,Tony Wroten,G,0.0,0.0,0.0
291,364.p.5058,0.0,Jared Cunningham,G,0.0,0.0,0.0
290,364.p.5057,0.0,John Jenkins,GF,0.0,0.0,0.0
287,364.p.5025,0.0,Andrew Nicholson,PF,0.0,0.0,0.0
285,364.p.5023,0.0,Tyler Zeller,FC,0.0,0.0,0.0
284,364.p.5021,0.0,Maurice Harkless,SF,0.0,0.0,0.0
282,364.p.5019,0.0,Kendall Marshall,PG,0.0,0.0,0.0
281,364.p.5018,0.0,Jeremy Lamb,GF,0.0,0.0,0.0
280,364.p.5017,0.0,Meyers Leonard,FC,0.0,0.0,0.0
279,364.p.5016,0.0,Austin Rivers,G,0.0,0.0,0.0
274,364.p.5011,0.0,Thomas Robinson,FC,0.0,0.0,0.0
269,364.p.5006,0.0,D.J. Kennedy,GF,0.0,0.0,0.0
316,364.p.5142,0.0,Justin Holiday,GF,0.0,0.0,0.0
317,364.p.5146,0.0,Willie Reed,FC,0.0,0.0,0.0
318,364.p.5150,0.0,Aron Baynes,C,0.0,0.0,0.0
319,364.p.5152,0.0,Anthony Bennett,F,0.0,0.0,0.0
372,364.p.5265,0.0,Jorge Gutierrez,PG,0.0,0.0,0.0
370,364.p.5257,0.0,Cameron Jones,SG,0.0,0.0,0.0
369,364.p.5256,0.0,Dewayne Dedmon,C,0.0,0.0,0.0
366,364.p.5248,0.0,Toure' Murry,SG,0.0,0.0,0.0
364,364.p.5242,0.0,E.J. Singler,SF,0.0,0.0,0.0
363,364.p.5240,0.0,Arinze Onuaku,PF,0.0,0.0,0.0
362,364.p.5237,0.0,Ian Clark,G,0.0,0.0,0.0
361,364.p.5233,0.0,Phil Pressey,PG,0.0,0.0,0.0
360,364.p.5225,0.0,Joffrey Lauvergne,FC,0.0,0.0,0.0
359,364.p.5222,0.0,Lorenzo Brown,PG,0.0,0.0,0.0
358,364.p.5220,0.0,James Ennis,GF,0.0,0.0,0.0
357,364.p.5218,0.0,Ryan Kelly,F,0.0,0.0,0.0
356,364.p.5217,0.0,Raul Neto,PG,0.0,0.0,0.0
355,364.p.5214,0.0,Mike Muscala,FC,0.0,0.0,0.0
478,364.p.5495,0.0,Willy Hernangomez,C,0.0,0.0,0.0
354,364.p.5210,0.0,Grant Jerrett,PF,0.0,0.0,0.0
352,364.p.5208,0.0,Nate Wolters,PG,0.0,0.0,0.0
351,364.p.5206,0.0,Ray McCallum,PG,0.0,0.0,0.0
350,364.p.5204,0.0,Isaiah Canaan,PG,0.0,0.0,0.0
349,364.p.5202,0.0,Alex Abrines,SG,0.0,0.0,0.0
347,364.p.5199,0.0,Archie Goodwin,G,0.0,0.0,0.0
