name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
One for the Mainland,6.0,4.0,4.0,1.0,2.0,3.0,6.0,5.0,11.0,4.66666666667
Optimus Dimes,1.0,8.0,13.0,3.0,7.0,1.0,1.5,10.0,2.0,5.16666666667
So Kawhi 。◕ ‿ ◕。,10.0,1.0,6.0,2.0,4.0,2.0,9.5,6.0,9.0,5.5
#Hwaiting,13.0,2.0,11.0,4.0,1.0,8.0,13.5,4.0,4.0,6.72222222222
Browshakalaka,4.0,10.0,8.0,10.0,6.0,9.5,1.5,9.0,7.0,7.22222222222
If All Ellis Fails,12.0,5.0,3.0,6.0,3.0,14.0,3.0,7.5,12.0,7.27777777778
Greendale CC,9.0,13.0,7.0,13.0,8.0,7.0,4.0,1.0,8.0,7.77777777778
Cool Cats,11.0,7.0,5.0,9.0,14.0,6.0,7.5,2.5,10.0,8.0
Vogelmagic,7.0,11.0,2.0,5.0,9.0,5.0,7.5,13.0,13.0,8.05555555556
Trinh,3.0,6.0,11.0,11.0,13.0,11.0,5.0,11.0,4.0,8.33333333333
Valar Moredunkis,8.0,3.0,9.0,8.0,11.0,9.5,9.5,13.0,6.0,8.55555555556
Forgot About Dray,14.0,12.0,14.0,14.0,5.0,4.0,11.0,7.5,1.0,9.16666666667
D-League All-Stars,2.0,9.0,1.0,7.0,12.0,13.0,12.0,13.0,14.0,9.22222222222
#TrustTheProcess,5.0,14.0,11.0,12.0,10.0,12.0,13.5,2.5,4.0,9.33333333333
