team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,7.0,3.5,5.75,1.0,2.0,8.5,6.5,6.5,9.25,5.55555555556
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,10.0,1.5,8.0,3.5,6.0,4.5,7.25,5.0,7.0,5.86111111111
364.l.8091.t.9,Optimus Dimes,1.0,10.5,13.0,5.5,5.0,1.0,5.75,10.0,2.0,5.97222222222
364.l.8091.t.2,#Hwaiting,11.0,3.5,8.25,5.5,3.5,6.0,7.75,3.0,6.75,6.13888888889
364.l.8091.t.14,Browshakalaka,4.5,10.0,7.75,12.0,8.5,6.0,2.25,7.25,7.25,7.27777777778
364.l.8091.t.12,Valar Moredunkis,9.5,5.0,5.5,6.0,8.0,9.75,5.25,8.0,9.5,7.38888888889
364.l.8091.t.11,If All Ellis Fails,9.5,7.0,4.25,7.5,3.5,11.0,7.0,6.5,10.75,7.44444444444
364.l.8091.t.3,Forgot About Dray,14.0,6.5,13.0,13.5,3.0,5.0,9.0,4.25,2.0,7.80555555556
364.l.8091.t.4,Cool Cats,6.5,9.0,3.0,5.5,11.5,9.0,7.25,7.75,12.0,7.94444444444
364.l.8091.t.13,Vogelmagic,5.0,8.5,2.5,5.5,10.5,7.0,10.25,12.0,12.5,8.19444444444
364.l.8091.t.6,Jimmy & Jimmy Co.,11.0,8.5,9.0,11.5,9.0,6.0,6.5,7.5,6.0,8.33333333333
364.l.8091.t.1,#TrustTheProcess,5.5,11.0,7.5,7.5,8.5,11.5,12.75,4.75,7.5,8.5
364.l.8091.t.10,Trinh,7.5,9.0,10.0,11.5,13.0,6.75,4.5,10.0,5.0,8.58333333333
364.l.8091.t.5,D-League All-Stars,3.0,11.5,7.5,9.0,13.0,13.0,13.0,12.5,7.5,10.0
