team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,6.75,8.75,4.625,4.0,5.0,4.75,5.5,5.0,10.75,6.125
364.l.8091.t.11,Icin On The Beefcake,11.25,7.25,5.75,3.625,4.25,3.625,5.625,5.25,12.5,6.56944444444
364.l.8091.t.12,Valar Moredunkis,4.0,5.75,7.625,4.75,8.5,7.125,8.375,8.25,5.5,6.65277777778
364.l.8091.t.10,Trinh,6.5,5.25,2.75,7.25,11.5,9.875,6.75,6.375,3.875,6.68055555556
364.l.8091.t.2,#Hwaiting,11.25,6.0,9.625,7.625,2.25,6.375,7.625,1.75,8.625,6.79166666667
364.l.8091.t.3,Forgot About Dray,12.5,4.5,13.125,12.5,2.0,2.25,7.5,3.25,8.875,7.38888888889
364.l.8091.t.9,Stream Team,9.0,10.75,6.125,8.5,9.875,6.5,4.75,8.375,4.875,7.63888888889
364.l.8091.t.1,Adam Silver,5.0,10.5,3.625,6.0,11.5,11.75,8.375,8.125,4.25,7.68055555556
364.l.8091.t.5,D-League All-Stars,2.25,11.25,2.375,6.625,8.875,4.0,9.25,11.75,13.25,7.73611111111
364.l.8091.t.13,Harry B's Hairy Bees,4.25,5.25,9.375,7.0,6.0,11.25,12.125,11.25,5.75,8.02777777778
364.l.8091.t.6,Jimmy & Jimmy Co.,8.5,8.0,11.5,11.75,7.75,7.75,2.875,8.875,6.625,8.18055555556
364.l.8091.t.14,Browshakalaka,7.5,6.75,11.625,10.0,8.25,9.5,5.625,8.125,6.75,8.23611111111
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,10.25,6.75,9.75,9.25,9.0,10.75,12.25,5.25,4.5,8.63888888889
364.l.8091.t.4,Cool Cats,6.0,8.25,7.125,6.125,10.25,9.5,8.375,13.375,8.875,8.65277777778
