date,first_name,last_name,position,team,team_key,timestamp,type
2017-02-09,Bojan,Bogdanovic,"SG,SF",One for the Mainland,364.l.8091.t.7,"Thu, 09 Feb 2017 16:02:17",add
2017-02-08,Bismack,Biyombo,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,"Wed, 08 Feb 2017 14:00:57",drop
2017-02-08,Maurice,Harkless,SF,Stream Team,364.l.8091.t.9,"Wed, 08 Feb 2017 00:36:28",add
2017-02-08,Emmanuel,Mudiay,PG,Stream Team,364.l.8091.t.9,"Wed, 08 Feb 2017 00:36:28",drop
2017-02-07,Tony,Allen,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 22:30:44",add
2017-02-07,Dwight,Powell,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 22:30:44",drop
2017-02-07,Shabazz,Muhammad,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Tue, 07 Feb 2017 18:06:24",drop
2017-02-07,Dwight,Powell,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 02:59:21",add
2017-02-07,Terrence,Ross,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 02:59:21",drop
2017-02-07,Jamal,Crawford,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Tue, 07 Feb 2017 01:40:52",add
2017-02-07,Tyreke,Evans,"PG,SG,SF",Valar Moredunkis,364.l.8091.t.12,"Tue, 07 Feb 2017 01:40:52",drop
2017-02-07,Brandon,Ingram,"SG,SF",Browshakalaka,364.l.8091.t.14,"Tue, 07 Feb 2017 01:15:36",add
2017-02-07,Chandler,Parsons,"SF,PF",Browshakalaka,364.l.8091.t.14,"Tue, 07 Feb 2017 01:15:36",drop
2017-02-06,T.J.,Warren,SF,Stream Team,364.l.8091.t.9,"Mon, 06 Feb 2017 20:34:33",add
2017-02-06,Evan,Turner,"SG,SF",Stream Team,364.l.8091.t.9,"Mon, 06 Feb 2017 20:34:33",drop
2017-02-06,Frank,Kaminsky,"PF,C",Adam Silver,364.l.8091.t.1,"Mon, 06 Feb 2017 12:57:20",add
2017-02-05,Matt,Barnes,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sun, 05 Feb 2017 19:22:55",add
2017-02-05,Kelly,Olynyk,C,D-League All-Stars,364.l.8091.t.5,"Sun, 05 Feb 2017 19:22:55",drop
2017-02-05,Evan,Turner,"SG,SF",Stream Team,364.l.8091.t.9,"Sun, 05 Feb 2017 02:59:40",add
2017-02-05,Tony,Allen,"SG,SF",Stream Team,364.l.8091.t.9,"Sun, 05 Feb 2017 02:59:40",drop
2017-02-04,Kelly,Olynyk,C,D-League All-Stars,364.l.8091.t.5,"Sat, 04 Feb 2017 19:22:53",add
2017-02-04,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sat, 04 Feb 2017 19:22:53",drop
2017-02-04,Shabazz,Muhammad,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Sat, 04 Feb 2017 19:05:53",add
