,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
0,1,364.l.8091.t.1,#TrustTheProcess,74.0,91.0,0.813186813187,135.0,336.0,0.401785714286,47,379,145,59,20,8,47,5.0,14.0,11.0,12.0,10.0,12.0,13.5,2.5,4.0,0.607486263736
1,1,364.l.8091.t.2,#Hwaiting,79.0,109.0,0.724770642202,164.0,334.0,0.491017964072,47,439,227,76,20,30,47,13.0,2.0,11.0,4.0,1.0,8.0,13.5,4.0,4.0,0.607894303137
2,1,364.l.8091.t.3,Forgot About Dray,30.0,56.0,0.535714285714,78.0,190.0,0.410526315789,40,194,183,85,23,22,40,14.0,12.0,14.0,14.0,5.0,4.0,11.0,7.5,1.0,0.473120300752
3,1,364.l.8091.t.13,Vogelmagic,88.0,110.0,0.8,160.0,375.0,0.426666666667,63,438,148,84,26,11,63,7.0,11.0,2.0,5.0,9.0,5.0,7.5,13.0,13.0,0.613333333333
4,1,364.l.8091.t.4,Cool Cats,74.0,96.0,0.770833333333,147.0,333.0,0.441441441441,58,394,128,80,26,8,58,11.0,7.0,5.0,9.0,14.0,6.0,7.5,2.5,10.0,0.606137387387
5,1,364.l.8091.t.12,Valar Moredunkis,84.0,106.0,0.792452830189,148.0,308.0,0.480519480519,48,405,138,71,24,11,48,8.0,3.0,9.0,8.0,11.0,9.5,9.5,13.0,6.0,0.636486155354
6,1,364.l.8091.t.5,D-League All-Stars,83.0,98.0,0.84693877551,151.0,350.0,0.431428571429,67,433,135,106,22,11,67,2.0,9.0,1.0,7.0,12.0,13.0,12.0,13.0,14.0,0.639183673469
7,1,364.l.8091.t.11,If All Ellis Fails,83.0,110.0,0.754545454545,162.0,358.0,0.45251396648,62,434,192,100,36,22,62,12.0,5.0,3.0,6.0,3.0,14.0,3.0,7.5,12.0,0.603529710513
8,1,364.l.8091.t.6,Greendale CC,64.0,82.0,0.780487804878,133.0,328.0,0.405487804878,54,353,157,78,34,9,54,9.0,13.0,7.0,13.0,8.0,7.0,4.0,1.0,8.0,0.592987804878
9,1,364.l.8091.t.10,Trinh,69.0,83.0,0.831325301205,141.0,318.0,0.443396226415,47,388,134,66,32,12,47,3.0,6.0,11.0,11.0,13.0,11.0,5.0,11.0,4.0,0.63736076381
10,1,364.l.8091.t.7,One for the Mainland,112.0,138.0,0.811594202899,191.0,406.0,0.470443349754,60,531,195,86,27,26,60,6.0,4.0,4.0,1.0,2.0,3.0,6.0,5.0,11.0,0.641018776326
11,1,364.l.8091.t.9,Optimus Dimes,86.0,101.0,0.851485148515,159.0,362.0,0.439226519337,46,441,158,98,39,17,46,1.0,8.0,13.0,3.0,7.0,1.0,1.5,10.0,2.0,0.645355833926
12,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,99.0,127.0,0.779527559055,174.0,343.0,0.507288629738,55,476,186,89,24,23,55,10.0,1.0,6.0,2.0,4.0,2.0,9.5,6.0,9.0,0.643408094396
13,1,364.l.8091.t.14,Browshakalaka,93.0,113.0,0.823008849558,141.0,329.0,0.428571428571,51,391,159,71,39,18,51,4.0,10.0,8.0,10.0,6.0,9.5,1.5,9.0,7.0,0.625790139064
