,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
1,1,364.l.83683.t.7,Peter's Team,68.0,116.0,0.586206896552,161.0,304.0,0.529605263158,74,403,271,119,30,35,74,10.0,1.0,2.0,10.0,1.0,6.0,9.0,1.0,9.0,0.557906079855
5,1,364.l.83683.t.5,Karan's Team,124.0,161.0,0.770186335404,240.0,555.0,0.432432432432,68,648,192,127,38,15,68,8.0,8.0,4.0,1.0,6.0,5.0,4.0,10.0,7.0,0.601309383918
3,1,364.l.83683.t.6,Underperformers,109.0,143.0,0.762237762238,221.0,480.0,0.460416666667,75,616,230,176,40,20,75,9.0,5.0,1.0,2.0,2.0,4.0,3.0,5.0,10.0,0.611327214452
7,1,364.l.83683.t.10,Dream Team,62.0,76.0,0.815789473684,183.0,427.0,0.428571428571,73,480,198,102,44,18,73,3.0,9.0,3.0,8.0,5.0,9.0,2.0,7.0,8.0,0.622180451128
4,1,364.l.83683.t.3,Ankit's Team,131.0,158.0,0.829113924051,171.0,405.0,0.422222222222,67,516,143,95,22,21,67,2.0,10.0,5.0,7.0,10.0,1.0,10.0,4.0,6.0,0.625668073136
0,1,364.l.83683.t.1,Bloomfield Bombers,105.0,132.0,0.795454545455,188.0,410.0,0.458536585366,60,543,180,85,35,19,60,6.0,6.0,8.0,5.0,8.0,3.0,6.0,6.0,3.0,0.62699556541
2,1,364.l.83683.t.2,The Uni-Bros,83.0,104.0,0.798076923077,189.0,413.0,0.457627118644,60,518,164,108,36,17,60,5.0,7.0,8.0,6.0,9.0,8.0,5.0,8.5,3.0,0.62785202086
6,1,364.l.83683.t.4,Shlokemon Go,87.0,112.0,0.776785714286,158.0,317.0,0.498422712934,47,438,181,89,31,33,47,7.0,2.0,10.0,9.0,7.0,2.0,8.0,2.0,1.0,0.63760421361
9,1,364.l.83683.t.9,Maverick,126.0,155.0,0.812903225806,211.0,446.0,0.473094170404,63,584,210,117,47,17,63,4.0,3.0,6.0,4.0,4.0,7.0,1.0,8.5,5.0,0.642998698105
8,1,364.l.83683.t.8,adam's Team,105.0,122.0,0.860655737705,224.0,485.0,0.461855670103,60,605,226,100,34,31,60,1.0,4.0,8.0,3.0,3.0,10.0,7.0,3.0,3.0,0.661255703904
